DI	UT
10.1007/s101890170122	WOS:000166914500001
10.1007/s101890170148	WOS:000166321500013
10.1007/s10258-009-0046-8	WOS:000275697700001
10.1007/s10311-005-0101-3	WOS:000239114300008
10.1007/s10533-011-9583-1	WOS:000300659300009
10.1007/s10582-002-0162-5	WOS:000183338000031
10.1007/s10735-012-9395-1	WOS:000308325900004
10.1007/s10800-009-9790-9	WOS:000267662200012
10.1007/s10832-004-5102-2	WOS:000226236100035
10.1007/s10832-006-6006-0	WOS:000243610600111
10.1007/s10853-010-4279-9	WOS:000276609000001
10.1007/s10853-012-6286-5	WOS:000302242700013
10.1007/s10853-012-6333-2	WOS:000302245300005
10.1007/s10933-012-9606-5	WOS:000305959000006
10.1007/s10948-006-0124-4	WOS:000244455700012
10.1007/s10967-010-0460-5	WOS:000276910200002
10.1007/s10967-011-1601-1	WOS:000305232400054
10.1007/s11060-007-9391-6	WOS:000249458000006
10.1007/s11104-012-1181-z	WOS:000308190400025
10.1007/s11120-012-9731-z	WOS:000308188800020
10.1007/s11120-012-9741-x	WOS:000308188800018
10.1007/s11120-012-9757-2	WOS:000308188800016
10.1007/s11269-011-9911-1	WOS:000297837200010
10.1007/s11356-011-0645-7	WOS:000303547200043
10.1007/s11663-004-0081-x	WOS:000224197600007
10.1007/s11664-001-0190-0	WOS:000172093800007
10.1007/s11664-002-0115-6	WOS:000179825600003
10.1007/s11664-004-0198-3	WOS:000221249600012
10.1007/s11664-012-2111-9	WOS:000305748700006
10.1007/s11666-011-9706-1	WOS:000303472800002
10.1007/s11666-012-9748-z	WOS:000303472800010
10.1007/s11666-012-9762-1	WOS:000303472800008
10.1007/s11666-012-9768-8	WOS:000303472800011
10.1007/s11837-007-0025-4	WOS:000244279000009
10.1007/s11837-009-0102-y	WOS:000267826800008
10.1007/s11869-010-0105-4	WOS:000309481100002
10.1007/s12028-009-9301-1	WOS:000275742800019
10.1007/s12028-009-9303-z	WOS:000275905800021
10.1007/s12031-012-9767-8	WOS:000307334000005
10.1007/s12040-010-0041-6	WOS:000284676400011
10.1007/s12043-008-0235-5	WOS:000263488900038
10.1007/s12043-008-0236-4	WOS:000263488900039
10.1007/s12043-008-0237-3	WOS:000263488900040
10.1007/s12104-007-9049-5	WOS:000258721700008
10.1007/s12104-010-9231-z	WOS:000282317100007
10.1007/s12152-011-9141-5	WOS:000306217500008
10.1007/s12583-010-0133-x	WOS:000284904700001
10.1007/s13592-011-0108-7	WOS:000305243700008
10.1016/0168-9002(87)90890-4	WOS:A1987L544800039
10.1016/0370-2693(86)91141-X	WOS:A1986C984500026
10.1016/B978-0-12-398314-5.00005-2	WOS:000308203800005
10.1016/j.actamat.2011.12.025	WOS:000303952000003
10.1016/j.addr.2009.06.008	WOS:000272600300014
10.1016/j.advwatres.2012.05.002	WOS:000306615700007
10.1016/j.agrformet.2012.05.012	WOS:000309312800012
10.1016/j.ajhg.2012.02.025	WOS:000302833400017
10.1016/j.aop.2011.06.004	WOS:000295345300011
10.1016/j.apenergy.2012.01.036	WOS:000307196000017
10.1016/j.apenergy.2012.03.009	WOS:000307196000024
10.1016/j.apradiso.2007.11.013	WOS:000255762200013
10.1016/j.apradiso.2008.07.006	WOS:000261858700024
10.1016/j.apradiso.2010.02.006	WOS:000279415800010
10.1016/j.apradiso.2010.03.004	WOS:000279415800028
10.1016/j.apradiso.2010.05.002	WOS:000281179400021
10.1016/j.apradiso.2010.06.013	WOS:000283384400043
10.1016/j.apradiso.2011.11.021	WOS:000306937800013
10.1016/j.apradiso.2012.02.011	WOS:000306937800045
10.1016/j.atmosenv.2011.11.021	WOS:000301157700017
10.1016/j.bbabio.2011.10.006	WOS:000300265300013
10.1016/j.bbabio.2012.06.347	WOS:000308525400324
10.1016/j.bbamem.2003.10.007	WOS:000187163700008
